17	-3	-12	427.913	1633.719
16	7	4	268.595	1802.897
62	-1	-31	416.24	1636.376
8	3	2	269.698	1789.865
23	9	-2	340.629	1753.057
14	-1	-11	431.307	1616.096
47	2	-37	420.927	1640.196
17	-6	-7	371.478	1617.456
7	4	3	215.678	1806.65
22	-3	-11	410.135	1617.03
28	19	13	201.453	1804.122
14	5	-2	353.508	1730.873
35	2	-5	371.024	1616.984
10	-1	-8	431.786	1620.166
13	3	-1	357.269	1699.963
30	17	9	248.293	1817.714
14	3	-2	369.799	1675.147
18	3	-1	352.476	1678.428
29	15	6	272.425	1815.39
11	5	0	318.462	1774.767
9	6	5	179.281	1785.456
34	23	21	162.652	1771.522
21	0	-19	401.761	1630.54
23	17	14	164.217	1773.174
23	3	2	311.307	1696.354
19	6	-5	375.846	1671.087
10	3	2	282.945	1767.672
18	9	8	213.207	1798.059
21	11	4	274.9	1815.981
17	14	13	124.851	1733.381
16	13	11	142.938	1753.393
33	29	28	105.75	1709.891
3	-1	-1	363.951	1590.971
