1	0	-1	386.393	1625.662
1	1	1	75.095	1665.949
5	2	-1	358.983	1719.309
4	1	-2	406.767	1672.283
3	2	1	234.741	1818.412
7	4	1	280.708	1814.891
7	-2	-5	415.963	1645.571
5	-1	-1	361.131	1516.863
8	-1	-1	352.041	1556.751
5	4	3	164.168	1773.651
7	1	-2	395.524	1627.423
4	3	2	189.135	1796.307
8	5	2	255.007	1822.011
13	-2	-5	397.34	1590.444
7	1	1	294.346	1709.929
11	8	5	201.524	1804.338
5	1	-3	416.667	1672.174
8	5	5	161.339	1767.894
5	0	-1	380.501	1593.443
11	5	-1	335.53	1760.069
4	-1	-1	363.561	1550.067
17	5	-4	373.856	1676.377
10	7	4	216.735	1811.832
9	2	-5	412.629	1673.06
17	8	-1	328.227	1767.71
14	-1	-13	415.36	1621.736
16	1	-11	426.194	1649.202
10	7	7	141.51	1750.563
16	-5	-11	405.356	1652.172
17	-7	-10	382.205	1647.448
9	-1	-8	431.941	1616.067
7	0	-1	368.174	1596.923
17	2	-13	414.171	1660.305
6	5	4	147.408	1757.524
14	5	-4	375.439	1672.215
4	1	-1	381.069	1650.979
11	-1	-1	346.617	1570.661
11	2	2	284.331	1729.718
19	-8	-11	379.432	1646.349
19	-5	-14	417.45	1646.363
8	1	-6	417.689	1659.487
11	-4	-4	362.965	1602.411
11	2	-1	360.065	1676.005
2	0	-1	416.969	1638.116
3	1	0	331.904	1752.22
13	1	1	311.513	1665.415
13	-2	-2	356.12	1542.714
20	-1	-19	404.827	1625.439
9	-1	-2	375.915	1555.303
26	11	-1	328.676	1766.601
20	-1	-1	339.045	1583.274
4	3	3	128.95	1737.66
13	1	-2	373.916	1622.608
13	-5	-5	362.044	1609.098
23	2	-19	400.245	1661.874
5	0	-3	424.743	1639.685
13	4	1	319.281	1757.709
11	-1	-4	398.826	1604.567
10	3	-3	382.09	1647.652
13	7	7	185.878	1782.974
29	5	-16	414.962	1671.126
14	-1	-7	415.426	1625.678
12	1	-1	357.035	1624.555
16	-5	-8	389.01	1636.403
19	1	1	317.204	1644.335
34	-5	-17	409.391	1618.937
37	10	7	285.351	1760.077
5	1	0	339.012	1704.915
9	-1	-3	393.173	1592.724
37	4	-17	412.534	1658.432
13	5	-2	352.707	1733.465
20	17	17	105.447	1709.981
5	4	4	116.76	1724.218
19	-5	-8	388.117	1614.479
9	3	-1	350.876	1733.431
11	-1	-7	424.735	1622.821
29	-10	-16	387.547	1646.964
9	2	1	307.421	1739.2
17	5	4	271.929	1768.119
16	1	-5	403.008	1620.265
20	-1	-7	401.5	1608.506
14	3	-5	395.843	1654.208
13	4	-2	360.414	1712.416
9	-1	-5	418.141	1618.877
11	3	1	314.68	1751.545
20	-1	-13	425	1631.47
11	1	-6	418.883	1660.148
19	7	-2	346.125	1744.169
23	5	-7	389.807	1640.677
11	0	-4	406.474	1618.719
25	4	-11	407.529	1664.686
25	2	-1	343.897	1637.315
8	-1	-5	419.192	1631.778
43	-5	-8	368.266	1555.903
25	4	3	302.328	1715.438
19	1	-10	419.938	1651.108
24	9	-5	362.429	1711.177
11	-2	-5	401.842	1614.761
25	10	1	316.617	1775.786
27	1	-10	410.133	1627.563
25	1	-8	402.707	1618.436
55	-17	-23	380.012	1617.619
9	4	1	298.261	1795.308
13	3	2	295.048	1746.494
